City,Rate,County
Brentwood,8.75%,Contra Costa
Briceland,7.75%,Humboldt
Bridgeport,8.75%,Mariposa
Bridgeport,7.25%,Mono
Bridgeville,7.75%,Humboldt
Brisbane,9.88%,San Mateo
Broderick (West Sacramento),8.25%,Yolo
Brookdale,9.00%,Santa Cruz
Brookhurst Center,7.75%,Orange
Brooks,7.25%,Yolo
Browns Valley,8.25%,Yuba
Brownsville,8.25%,Yuba
Bryn Mawr,7.75%,San Bernardino
Bryte (West Sacramento),8.25%,Yolo
Buellton,7.75%,Santa Barbara
Buena Park,7.75%,Orange
Burbank,10.25%,Los Angeles
Burlingame,9.63%,San Mateo
Burney,7.25%,Shasta
Burnt Ranch,7.25%,Trinity
Burrel,7.98%,Fresno
Burson,7.25%,Calaveras
Butte City,7.25%,Glenn
Butte Meadows,7.25%,Butte
Buttonwillow,8.25%,Kern
Byron,8.75%,Contra Costa
Cabazon,7.75%,Riverside
Cabrillo,9.50%,Los Angeles
Cadiz,7.75%,San Bernardino
Calabasas Highlands,9.50%,Los Angeles
Calabasas Park,9.50%,Los Angeles
Calabasas,9.50%,Los Angeles
Calexico,8.25%,Imperial
Caliente,8.25%,Kern
California City,7.25%,Kern
California Hot Springs,7.75%,Tulare
California Valley,7.25%,San Luis Obispo
Calimesa,7.75%,Riverside
Calipatria,7.75%,Imperial
Calistoga,7.75%,Napa
Callahan,7.25%,Siskiyou
Calpella,7.88%,Mendocino
Calpine,7.25%,Sierra
Calwa,7.98%,Fresno
Camarillo,7.25%,Ventura
Cambria,7.25%,San Luis Obispo
Cambrian Park,9.13%,Santa Clara
Cameron Park,7.25%,El Dorado
Camino,7.25%,El Dorado
Camp Beale,8.25%,Yuba
Camp Connell,7.25%,Calaveras
Camp Curry,8.75%,Mariposa
Camp Kaweah,7.75%,Tulare
Camp Meeker,8.50%,Sonoma
Camp Nelson,7.75%,Tulare
Camp Pendleton,7.75%,San Diego
Camp Roberts,7.75%,Monterey
Campbell,9.38%,Santa Clara
Campo,7.75%,San Diego
Campo Seco,7.25%,Calaveras
Camptonville,8.25%,Yuba
Canby,7.25%,Modoc
Canoga Annex,9.50%,Los Angeles
Canoga Park (Los Angeles),9.50%,Los Angeles
Cantil,8.25%,Kern
Cantua Creek,7.98%,Fresno
Canyon,8.75%,Contra Costa
Canyon Country (Santa Clarita),9.50%,Los Angeles
Canyon Lake,7.75%,Riverside
Canyondam,7.25%,Plumas
Capay,7.25%,Yolo
Capistrano Beach (Dana Point),7.75%,Orange
Capitola,9.00%,Santa Cruz
Cardiff By The Sea (Encinitas),7.75%,San Diego
Cardwell,7.98%,Fresno
Carlotta,7.75%,Humboldt
Carlsbad,7.75%,San Diego
Carmel Rancho,7.75%,Monterey
Carmel Valley,7.75%,Monterey
Carmel-by-the-Sea,9.25%,Monterey
Carmichael,7.75%,Sacramento
Carnelian Bay,7.25%,Placer
Carpinteria,9.00%,Santa Barbara
Carson,10.25%,Los Angeles
Cartago,7.75%,Inyo
Caruthers,7.98%,Fresno
Casitas Springs,7.25%,Ventura
Casmalia,7.75%,Santa Barbara
Caspar,7.88%,Mendocino
Cassel,7.25%,Shasta
Castaic,9.50%,Los Angeles
Castella,7.25%,Shasta
Castle A.F.B.,7.75%,Merced
Castro Valley,10.25%,Alameda
Castroville,7.75%,Monterey
Cathedral City,8.75%,Riverside
Catheys Valley,8.75%,Mariposa
Cayucos,7.25%,San Luis Obispo
Cazadero,8.50%,Sonoma
Cecilville,7.25%,Siskiyou
Cedar,9.50%,Los Angeles
Cedar Crest,7.98%,Fresno
Cedar Glen,7.75%,San Bernardino
Cedar Ridge,7.50%,Nevada
Cedarpines Park,7.75%,San Bernardino
Cedarville,7.25%,Modoc
Central Valley,7.25%,Shasta
Century City (Los Angeles),9.50%,Los Angeles
Ceres,8.38%,Stanislaus
Cerritos,9.50%,Los Angeles
Challenge,8.25%,Yuba
Chambers Lodge,7.25%,Placer
Charter Oak,9.50%,Los Angeles
Chatsworth (Los Angeles),9.50%,Los Angeles
Cherry Valley,7.75%,Riverside
Chester,7.25%,Plumas
Chicago Park,7.50%,Nevada
Chico,8.25%,Butte
Chilcoot,7.25%,Plumas
China Lake NWC (Ridgecrest),9.25%,Kern
Chinese Camp,7.25%,Tuolumne
